full_name,passing_att,passing_cmp,passing_ints,passing_tds,passing_yds,rushing_att,rushing_yds,rushing_tds
Aaron Rodgers,4255,2786,61,281,33847,453,2361,21
Alex Smith,3639,2329,63,158,25835,423,1948,12
Andrew Luck,2653,1572,68,132,19086,286,1432,14
Andy Dalton,3362,2107,89,157,24435,337,1028,18
Austin Davis,379,237,12,13,2545,24,68,0
Ben Roethlisberger,4363,2828,103,215,34357,240,597,6
Blaine Gabbert,1264,708,38,40,7592,155,566,3
Blake Bortles,2024,1189,59,80,13330,203,1343,7
Brady Quinn,455,250,15,10,2480,40,164,1
Brandon Weeden,965,559,30,31,6463,61,197,1
Brett Favre,890,581,26,44,6711,27,15,0
Brian Hoyer,1408,838,30,48,9903,83,113,2
Brock Osweiler,890,527,25,28,5530,72,179,3
Bruce Gradkowski,336,177,11,12,2237,39,146,0
Cam Newton,3278,1921,89,150,24172,770,4034,53
Carson Palmer,4143,2561,120,187,30620,193,301,6
Case Keenum,1069,645,25,37,7420,76,246,3
Chad Henne,1944,1152,62,58,12869,118,346,3
Charlie Whitehurst,396,219,8,11,2463,55,140,1
Christian Ponder,1057,632,36,38,6658,127,632,7
Colin Kaepernick,1694,1011,30,72,12266,379,2301,13
Colt McCoy,842,508,23,26,5586,114,425,2
Curtis Painter,287,148,13,6,1681,23,109,0
Dan Orlovsky,240,148,5,7,1453,6,5,0
David Garrard,882,550,25,38,6331,143,593,8
Derek Anderson,676,361,25,17,4218,40,55,2
Derek Carr,2025,1248,38,96,13398,113,319,0
Donovan McNabb,1071,636,27,40,7956,79,351,3
Drew Brees,5441,3741,124,311,42504,205,291,13
Drew Stanton,574,301,21,16,3582,74,200,2
EJ Manuel,590,343,16,20,3767,96,339,4
Eli Manning,4899,3022,148,236,35789,181,320,3
Geno Smith,868,501,36,28,5962,136,646,7
Jake Delhomme,498,289,25,11,3098,25,58,0
Jake Locker,709,408,22,27,4967,95,644,5
JaMarcus Russell,247,121,11,3,1290,19,45,0
Jameis Winston,1362,816,39,60,10054,120,429,7
Jason Campbell,1387,844,36,52,9529,132,653,4
Jay Cutler,3532,2190,115,166,24960,263,1285,6
Jimmy Clausen,472,255,14,7,2520,37,102,0
Joe Flacco,4639,2866,115,176,31360,264,591,13
John Skelton,602,320,25,15,3707,42,182,0
Jon Kitna,328,215,14,17,2452,33,148,1
Josh Freeman,2051,1180,68,81,13873,207,943,4
Josh McCown,1419,881,37,61,10209,105,481,8
Kellen Clemens,374,211,9,11,2462,48,114,2
Kerry Collins,592,327,17,22,3529,24,15,1
Kevin Kolb,721,432,21,28,5062,53,242,2
Kirk Cousins,1900,1252,48,88,14829,107,338,12
Kurt Warner,514,340,14,27,3758,21,10,0
Kyle Boller,208,115,10,3,1085,29,132,0
Kyle Orton,1799,1108,42,71,12717,73,204,1
Marc Bulger,247,140,6,5,1469,8,22,0
Marcus Mariota,1095,677,27,53,8211,128,794,7
Mark Sanchez,2283,1295,86,86,15219,169,449,13
Matt Barkley,266,159,18,8,1911,12,0,0
Matt Cassel,2113,1223,68,81,13502,179,722,2
Matt Flynn,352,217,11,17,2535,60,66,1
Matt Hasselbeck,1983,1209,59,65,13080,108,271,3
Matthew Stafford,4648,2859,114,206,32995,262,942,14
Matt McGloin,278,161,11,11,1868,16,27,0
Matt Moore,845,507,31,41,5939,62,95,2
Matt Ryan,4964,3248,111,238,36950,282,856,4
Matt Schaub,2444,1566,65,103,18549,116,121,2
Mike Glennon,770,467,20,34,4933,41,90,0
Mike Vick,1488,878,36,62,10960,343,2251,15
Nick Foles,1291,782,27,56,9273,111,345,5
Peyton Manning,3421,2286,86,206,26320,122,-49,1
Philip Rivers,4847,3144,127,254,37839,219,412,2
Rex Grossman,600,342,25,23,4065,26,22,1
Robert Griffin III,1212,768,26,42,9002,275,1683,10
Russell Wilson,2650,1706,52,148,20955,541,3005,15
Ryan Fitzpatrick,3495,2093,119,159,24025,375,1701,9
Ryan Lindley,274,140,11,3,1372,4,7,0
Ryan Mallett,346,190,10,9,1835,28,-6,1
Ryan Tannehill,2630,1649,66,105,18430,214,1057,6
Sam Bradford,2888,1805,57,101,19042,145,337,2
Seneca Wallace,352,213,7,9,2100,30,81,1
Shaun Hill,858,522,21,31,5748,52,199,1
Tarvaris Jackson,549,334,17,19,3821,77,156,2
Teddy Bridgewater,849,551,21,28,6150,91,401,4
Terrelle Pryor,310,175,12,9,1993,101,651,4
Tim Tebow,362,173,10,17,2422,196,990,12
T.J. Yates,225,131,8,6,1534,23,56,1
Tom Brady,4944,3193,69,282,38174,278,431,12
Tom Savage,222,122,5,2,1342,14,6,0
Tony Romo,3028,1998,71,167,23633,142,350,3
Trent Edwards,286,167,12,8,1704,28,164,0
Trevor Siemian,782,469,21,31,5438,60,173,2
Tyrod Taylor,1135,713,17,48,8124,288,1548,13
Vince Young,529,311,19,24,4000,98,485,2
Zach Mettenberger,345,208,14,12,2347,14,12,1
